Date,Time,Distance,Place,Country
11/28/2009,4:23:11,42.195 ,Arolsen,DE
4/25/2010,3:52:08,42.195 ,Hamburg,DE
9/12/2010,3:54:03,42.195 ,Münster,DE
2/26/2011,4:22:23,42.195 ,Kiel,DE
5/22/2011,3:45:42,42.195 ,Hamburg,DE
6/11/2011,3:39:08,42.195 ,Arolsen,DE
10/2/2011,3:20:06,42.195 ,Lindau,DE
10/31/2011,6:46:48,63.300 ,Remscheid,DE
11/26/2011,3:45:24,42.195 ,Arolsen,DE
12/11/2011,3:45:19,42.195 ,Bad Honnef,DE
1/15/2012,3:48:11,42.195 ,Pulheim,DE
2/25/2012,3:47:10,42.195 ,Kiel,DE
4/29/2012,3:34:25,42.195 ,Hamburg,DE
5/12/2012,3:28:00,42.195 ,Mannheim,DE
5/20/2012,3:40:50,42.195 ,Duisburg,DE
6/16/2012,4:28:35,42.195 ,Attendorn,DE
9/9/2012,3:28:01,42.195 ,Münster,DE
9/30/2012,3:11:39,42.195 ,Berlin,DE
10/28/2012,5:52:38,63.300 ,Remscheid,DE
11/4/2012,3:53:14,42.195 ,Simmerath-Einruhr,DE
12/1/2012,3:18:47,42.195 ,Arolsen,DE
12/9/2012,4:10:24,42.195 ,Bad Honnef,DE
2/3/2013,3:10:27,42.195 ,Apeldoorn,NL
2/17/2013,3:09:28,42.195 ,Merkers,DE
3/3/2013,4:06:06,50.000 ,Marburg,DE
3/17/2013,3:15:19,42.195 ,Bergisch Gladbach,DE
4/21/2013,3:09:06,42.195 ,Hamburg,DE
4/28/2013,3:19:37,42.195 ,Düsseldorf,DE
5/12/2013,3:25:50,42.195 ,Essen,DE
5/25/2013,8:53:54,73.500 ,Eisenach,DE
6/8/2013,3:58:42,42.195 ,Mannheim,DE
6/15/2013,4:06:15,42.195 ,Bad Neuenahr,DE
9/8/2013,3:27:50,42.195 ,Münster,DE
9/22/2013,3:41:23,42.195 ,Bestwig,DE
10/6/2013,4:04:16,42.195 ,Sao Paulo,BRA
10/27/2013,4:24:43,42.195 ,Remscheid,DE
12/8/2013,3:49:09,42.195 ,Bad Honnef,DE
2/2/2014,3:39:53,42.195 ,Apeldoorn,NL
2/16/2014,4:07:19,42.195 ,Herten-Bertlich,DE
2/22/2014,3:47:39,42.195 ,Kiel,DE
3/22/2014,4:02:57,42.195 ,Springe,DE
4/27/2014,3:37:03,42.195 ,Düsseldorf,DE
5/4/2014,3:25:07,42.195 ,Hamburg,DE
5/17/2014,8:37:30,73.500 ,Eisenach,DE
6/1/2014,3:55:41,42.195 ,Duisburg,DE
6/21/2014,3:55:15,42.195 ,Naumburg,DE
7/6/2014,4:18:14,42.195 ,Kaltenkirchen,DE
8/9/2014,3:59:01,42.195 ,Berlin,DE
9/7/2014,4:10:32,42.195 ,Siegen,DE
