municipality	province	latitude	longitude	surface_km2	population	avg_household_income_2012	avg_woz_2014	university
Aa en Hunze	Drenthe	53.010.485	6.749.528	278.9	25243	35500	225000	0
Aalburg	Noord-Brabant	51.751.294	5.057.085	53.17	12859	39100	249000	0
Aalsmeer	Noord-Holland	52.262.164	4.761.922	32.29	30792	40900	276000	0
Aalten	Gelderland	51.926.667	6.580.678	96.57	27030	33300	194000	0
Achtkarspelen	Friesland	53.210.357	6.153.565	103.98	28002	30500	165000	0
Alblasserdam	Zuid-Holland	51.870.337	4.670.202	10.06	19822	35500	195000	0
Albrandswaard	Zuid-Holland	51.858.068	4.423.187	23.75	25044	42700	255000	0
Alkmaar	Noord-Holland	52.632.842	4.755.037	31.2	94906	32300	181000	0
Almelo	Overijssel	52.367.027	6.668.492	69.4	72435	31000	156000	0
Almere	Flevoland	52.350.785	5.264.702	248.77	196156	34900	182000	0
Alphen aan den Rijn	Zuid-Holland	52.111.222	4.647.251	132.49	106809	36900	220000	0
Alphen-Chaam	Noord-Brabant	51.509.135	4.861.589	93.51	9712	40000	295000	0
Ameland	Friesland	53.440.564	5.658.766	268.5	3565	31100	201000	0
Amersfoort	Utrecht	52.156.111	5.387.827	63.86	150943	36900	222000	0
Amstelveen	Noord-Holland	52.311.421	4.870.087	44.08	85135	40200	257000	0
Amsterdam	Noord-Holland	52.370.216	4.895.168	219.3	853312	31400	231000	2
Apeldoorn	Gelderland	52.211.157	5.969.923	341.15	157535	34800	208000	0
Appingedam	Groningen	53.320.678	6.854.422	24.58	12049	29800	142000	0
Arnhem	Gelderland	51.985.103	5.898.730	101.54	150817	30500	175000	0
Assen	Drenthe	52.992.753	6.564.228	83.45	67209	32200	162000	0
Asten	Noord-Brabant	51.402.994	5.744.078	71.34	16479	35800	275000	0
Baarle-Nassau	Noord-Brabant	51.445.137	4.929.523	76.21	6617	35400	250000	0
Baarn	Utrecht	52.213.182	5.286.410	33.01	24344	38600	290000	0
Barendrecht	Zuid-Holland	51.851.509	4.548.581	21.73	47375	41600	244000	0
Barneveld	Gelderland	52.162.147	5.655.360	176.69	54176	38000	279000	0
Bedum	Groningen	53.301.675	6.599.829	44.96	10475	33900	176000	0
Beek	Limburg	50.939.316	5.795.647	21.03	16268	35300	184000	0
Beemster	Noord-Holland	52.547.559	4.913.332	72.07	8919	41400	304000	0
Beesel	Limburg	51.269.698	6.046.834	29.15	13593	33600	186000	0
Berg en Dal	Gelderland	51.818.121	5.920.082	44.14	18956			0
Bergeijk	Noord-Brabant	51.319.716	5.357.500	101.73	18250	37700	291000	0
Bergen (L.)	Limburg	51.599.866	6.032.998	108.48	13230	34000	208000	0
