,municipality,province,latitude,longitude,surface_km2,population,avg_household_income_2012,avg_woz_2014,university
0,Rozendaal,Gelderland,52.009.785,5.966.507,27.92,1500.0,56800.0,462000.0,0
1,Bloemendaal,Noord-Holland,52.404.947,4.620.185,45.18,22077.0,55600.0,549000.0,0
2,Wassenaar,Zuid-Holland,52.142.910,4.401.213,62.37,25786.0,52600.0,483000.0,0
3,Blaricum,Noord-Holland,52.272.669,5.248.080,15.56,9112.0,51600.0,536000.0,0
4,Laren,Noord-Holland,52.256.817,5.224.155,12.41,10846.0,50800.0,541000.0,0
5,Heemstede,Noord-Holland,52.351.063,4.620.300,9.64,26320.0,47600.0,370000.0,0
6,Oegstgeest,Zuid-Holland,52.186.226,4.474.810,7.97,22855.0,45500.0,320000.0,0
7,Lansingerland,Zuid-Holland,51.998.714,4.516.263,56.37,57188.0,43900.0,268000.0,0
8,Ouder-Amstel,Noord-Holland,52.285.929,4.913.383,25.78,13255.0,43200.0,294000.0,0
9,De Bilt,Utrecht,52.109.272,5.180.968,67.13,42013.0,43100.0,338000.0,0
10,Waalre,Noord-Brabant,51.387.833,5.443.202,22.66,16804.0,43000.0,302000.0,0
11,Houten,Utrecht,52.002.991,5.185.760,58.99,48427.0,42900.0,261000.0,0
12,Westvoorne,Zuid-Holland,51.887.279,4.084.461,97.48,13977.0,42800.0,303000.0,0
13,De Ronde Venen,Utrecht,52.206.680,4.886.773,116.98,42648.0,42700.0,300000.0,0
14,Midden-Delfland,Zuid-Holland,51.954.201,4.288.310,49.38,18449.0,42700.0,280000.0,0
15,Albrandswaard,Zuid-Holland,51.858.068,4.423.187,23.75,25044.0,42700.0,255000.0,0
16,Bunnik,Utrecht,52.066.528,5.200.776,37.57,14619.0,42600.0,271000.0,0
17,Voorschoten,Zuid-Holland,52.123.790,4.438.598,11.56,24941.0,42300.0,283000.0,0
18,Pijnacker-Nootdorp,Zuid-Holland,52.012.698,4.427.355,38.61,51068.0,42300.0,268000.0,0
19,Giessenlanden,Zuid-Holland,51.865.735,4.924.345,65.11,14423.0,41700.0,281000.0,0
20,Landsmeer,Noord-Holland,52.440.338,4.920.923,26.5,10457.0,41700.0,280000.0,0
21,Barendrecht,Zuid-Holland,51.851.509,4.548.581,21.73,47375.0,41600.0,244000.0,0
22,Wijdemeren,Noord-Holland,52.219.688,5.093.666,76.36,23170.0,41600.0,331000.0,0
23,Teylingen,Zuid-Holland,52.222.004,4.513.404,33.49,35723.0,41400.0,285000.0,0
24,Waterland,Noord-Holland,52.447.050,5.015.475,115.66,17154.0,41400.0,269000.0,0
25,Beemster,Noord-Holland,52.547.559,4.913.332,72.07,8919.0,41400.0,304000.0,0
26,Utrechtse Heuvelrug,Utrecht,52.052.203,5.282.495,134.09,47939.0,41400.0,305000.0,0
27,Haren,Groningen,53.171.826,6.605.243,50.73,18790.0,41300.0,261000.0,0
28,Montfoort,Utrecht,52.036.213,4.951.859,38.2,13639.0,41200.0,264000.0,0
29,Bodegraven-Reeuwijk,Zuid-Holland,52.082.326,4.746.084,88.64,32986.0,41200.0,275000.0,0
30,Leusden,Utrecht,52.131.793,5.429.469,58.89,28967.0,41000.0,267000.0,0
31,"Nuenen, Gerwen en Nederwetten",Noord-Brabant,51.478.251,5.556.858,33.94,22596.0,41000.0,298000.0,0
32,Zoeterwoude,Zuid-Holland,52.120.830,4.516.570,21.96,8089.0,40900.0,261000.0,0
33,Aalsmeer,Noord-Holland,52.262.164,4.761.922,32.29,30792.0,40900.0,276000.0,0
34,Haaren,Noord-Brabant,51.602.133,5.226.712,58.56,13578.0,40800.0,332000.0,0
35,Stichtse Vecht,Utrecht,52.144.755,5.033.208,106.82,63823.0,40800.0,270000.0,0
36,Zuidplas,Zuid-Holland,52.006.758,4.582.785,62.42,40878.0,40700.0,235000.0,0
37,Son en Breugel,Noord-Brabant,51.511.394,5.498.219,26.51,16241.0,40700.0,295000.0,0
38,Edam-Volendam,Noord-Holland,52.504.541,5.045.998,24.78,28934.0,40600.0,238000.0,0
39,Mook en Middelaar,Limburg,51.751.230,5.881.630,18.81,7783.0,40400.0,276000.0,0
40,Vught,Noord-Brabant,51.653.306,5.294.347,34.44,25626.0,40300.0,324000.0,0
41,Haarlemmerliede en Spaarnwoude,Noord-Holland,52.414.352,4.692.848,21.19,5547.0,40300.0,267000.0,0
42,Molenwaard,Zuid-Holland,51.892.130,4.798.340,126.47,29043.0,40300.0,245000.0,0
43,Sint-Michielsgestel,Noord-Brabant,51.641.348,5.352.881,59.34,28186.0,40300.0,295000.0,0
44,Heeze-Leende,Noord-Brabant,51.360.442,5.598.460,105.04,15376.0,40200.0,312000.0,0
45,Amstelveen,Noord-Holland,52.311.421,4.870.087,44.08,85135.0,40200.0,257000.0,0
46,Heiloo,Noord-Holland,52.601.234,4.700.493,19.01,22626.0,40200.0,288000.0,0
47,Castricum,Noord-Holland,52.545.259,4.672.735,60.37,34244.0,40200.0,259000.0,0
48,Eemnes,Utrecht,52.253.746,5.261.275,33.7,8773.0,40100.0,291000.0,0
49,Alphen-Chaam,Noord-Brabant,51.509.135,4.861.589,93.51,9712.0,40000.0,295000.0,0
50,Heumen,Gelderland,51.764.532,5.843.150,41.54,16342.0,40000.0,273000.0,0
51,Neerijnen,Gelderland,51.831.902,5.279.356,72.9,12022.0,39900.0,271000.0,0
52,Woerden,Utrecht,52.079.829,4.862.724,92.92,50607.0,39900.0,251000.0,0
53,Kaag en Braassem,Zuid-Holland,52.204.135,4.631.315,72.24,25758.0,39900.0,267000.0,0
54,Oirschot,Noord-Brabant,51.504.448,5.308.463,102.84,17989.0,39800.0,312000.0,0
55,Haarlemmermeer,Noord-Holland,52.300.378,4.674.359,185.29,144166.0,39700.0,248000.0,0
56,Zeist,Utrecht,52.090.601,5.233.253,48.65,61337.0,39700.0,301000.0,0
57,Oudewater,Utrecht,52.024.163,4.868.417,40.1,9868.0,39600.0,283000.0,0
58,Lopik,Utrecht,51.974.861,4.945.148,78.98,14000.0,39500.0,267000.0,0
59,Geldermalsen,Gelderland,51.884.365,5.229.359,101.73,26339.0,39500.0,278000.0,0
60,Eersel,Noord-Brabant,51.357.808,5.315.912,83.33,18201.0,39500.0,298000.0,0
61,Wijk bij Duurstede,Utrecht,51.975.600,5.338.450,50.25,23031.0,39500.0,261000.0,0
62,Buren,Gelderland,51.910.389,5.334.058,142.92,25995.0,39500.0,282000.0,0
63,Oud-Beijerland,Zuid-Holland,51.818.930,4.427.236,19.61,23727.0,39400.0,227000.0,0
64,Bunschoten,Utrecht,52.240.642,5.367.070,34.81,20547.0,39400.0,250000.0,0
65,Cromstrijen,Zuid-Holland,51.736.089,4.460.849,70.33,12748.0,39400.0,238000.0,0
66,Bergen (NH.),Noord-Holland,52.674.937,4.706.395,119.46,30075.0,39400.0,349000.0,0
67,Hilvarenbeek,Noord-Brabant,51.465.175,5.151.090,96.49,15082.0,39400.0,294000.0,0
68,IJsselstein,Utrecht,52.017.765,5.040.300,21.68,34268.0,39300.0,234000.0,0
69,Binnenmaas,Zuid-Holland,51.796.188,4.548.157,75.57,28682.0,39300.0,231000.0,0
70,Oostzaan,Noord-Holland,52.440.497,4.875.722,16.08,9154.0,39300.0,265000.0,0
71,Zeewolde,Flevoland,52.331.128,5.540.495,268.86,21543.0,39200.0,235000.0,0
72,Renswoude,Utrecht,52.074.661,5.538.173,18.51,4928.0,39200.0,281000.0,0
73,Zederik,Zuid-Holland,51.925.558,5.013.633,76.5,13661.0,39200.0,256000.0,0
74,Aalburg,Noord-Brabant,51.751.294,5.057.085,53.17,12859.0,39100.0,249000.0,0
75,Hendrik-Ido-Ambacht,Zuid-Holland,51.842.397,4.639.506,11.9,28952.0,39100.0,215000.0,0
76,Uitgeest,Noord-Holland,52.531.225,4.712.046,22.29,13242.0,39100.0,238000.0,0
77,Leiderdorp,Zuid-Holland,52.150.985,4.528.173,12.28,26788.0,39100.0,239000.0,0
78,Best,Noord-Brabant,51.507.764,5.397.848,35.1,28594.0,39100.0,262000.0,0
79,Lingewaal,Gelderland,51.838.089,5.076.384,54.49,11059.0,39000.0,267000.0,0
80,Korendijk,Zuid-Holland,51.810.961,4.342.386,100.47,10693.0,39000.0,236000.0,0
81,Sint Anthonis,Noord-Brabant,51.627.161,5.885.193,99.76,11696.0,38900.0,263000.0,0
82,Huizen,Noord-Holland,52.299.465,5.243.393,23.32,41239.0,38900.0,268000.0,0
83,Woudenberg,Utrecht,52.082.175,5.426.595,36.82,12386.0,38800.0,281000.0,0
84,Nieuwkoop,Zuid-Holland,52.150.056,4.777.359,91.16,27114.0,38800.0,271000.0,0
85,Soest,Utrecht,52.176.352,5.299.197,46.43,45430.0,38700.0,273000.0,0
86,Baarn,Utrecht,52.213.182,5.286.410,33.01,24344.0,38600.0,290000.0,0
87,Landerd,Noord-Brabant,51.726.775,5.659.492,70.71,15262.0,38500.0,267000.0,0
88,Lochem,Gelderland,52.158.665,6.409.816,215.94,33268.0,38500.0,282000.0,0
89,Bernheze,Noord-Brabant,51.660.272,5.501.401,90.41,29703.0,38500.0,278000.0,0
90,Wierden,Overijssel,52.358.260,6.593.873,95.39,23906.0,38400.0,235000.0,0
91,Dinkelland,Overijssel,52.407.617,6.897.260,176.82,25937.0,38300.0,248000.0,0
92,Langedijk,Noord-Holland,52.686.711,4.783.899,27.03,26984.0,38300.0,257000.0,0
93,Werkendam,Noord-Brabant,51.808.165,4.891.848,121.76,26400.0,38300.0,238000.0,0
94,Noordwijk,Zuid-Holland,52.239.989,4.450.009,51.45,25689.0,38300.0,328000.0,0
95,Woudrichem,Noord-Brabant,51.817.007,5.003.751,51.7,14407.0,38200.0,251000.0,0
96,Oisterwijk,Noord-Brabant,51.565.424,5.203.028,65.13,25835.0,38200.0,317000.0,0
97,Renkum,Gelderland,51.982.983,5.739.978,47.23,31577.0,38200.0,253000.0,0
98,Eijsden-Margraten,Limburg,50.819.960,5.821.457,78.32,24980.0,38200.0,237000.0,0
99,Brielle,Zuid-Holland,51.902.582,4.163.685,31.14,16306.0,38100.0,225000.0,0
100,Goirle,Noord-Brabant,51.523.677,5.064.195,42.34,23060.0,38100.0,251000.0,0
101,Barneveld,Gelderland,52.162.147,5.655.360,176.69,54176.0,38000.0,279000.0,0
102,Drimmelen,Noord-Brabant,51.708.552,4.803.490,119.43,26705.0,38000.0,234000.0,0
103,Zaltbommel,Gelderland,51.813.554,5.250.773,89.04,27207.0,38000.0,233000.0,0
104,Uithoorn,Noord-Holland,52.244.627,4.831.734,19.42,28407.0,38000.0,224000.0,0
105,Putten,Gelderland,52.245.301,5.568.482,87.41,24044.0,37900.0,292000.0,0
106,Urk,Flevoland,52.663.053,5.598.947,109.91,19487.0,37900.0,194000.0,0
107,Reusel-De Mierden,Noord-Brabant,51.370.650,5.146.555,78.64,12728.0,37900.0,270000.0,0
108,Kapelle,Zeeland,51.484.755,3.959.631,49.63,12508.0,37800.0,220000.0,0
109,Staphorst,Overijssel,52.642.914,6.199.494,135.69,16365.0,37800.0,248000.0,0
110,Tynaarlo,Drenthe,53.101.283,6.576.097,147.7,32506.0,37800.0,236000.0,0
111,Nijkerk,Gelderland,52.222.484,5.483.563,72.1,40600.0,37800.0,263000.0,0
112,Krimpen aan den IJssel,Zuid-Holland,51.914.353,4.596.233,8.95,28814.0,37700.0,218000.0,0
113,Bergeijk,Noord-Brabant,51.319.716,5.357.500,101.73,18250.0,37700.0,291000.0,0
114,Waddinxveen,Zuid-Holland,52.031.297,4.659.132,29.4,25520.0,37700.0,207000.0,0
115,Hattem,Gelderland,52.473.931,6.068.176,24.16,11742.0,37700.0,253000.0,0
116,Tubbergen,Overijssel,52.408.907,6.785.489,147.44,21216.0,37700.0,240000.0,0
117,Maasdriel,Gelderland,51.768.907,5.323.304,75.46,24197.0,37600.0,266000.0,0
118,Drechterland,Noord-Holland,52.653.307,5.183.589,80.74,19257.0,37600.0,231000.0,0
119,Wormerland,Noord-Holland,52.507.275,4.852.800,45.18,15751.0,37500.0,217000.0,0
120,Hardinxveld-Giessendam,Zuid-Holland,51.832.430,4.833.641,19.35,17736.0,37500.0,225000.0,0
121,Vianen,Utrecht,51.990.276,5.103.033,42.39,19573.0,37400.0,219000.0,0
122,Beuningen,Gelderland,51.859.724,5.769.107,47.09,25254.0,37400.0,231000.0,0
123,Strijen,Zuid-Holland,51.744.684,4.553.920,57.7,8678.0,37400.0,222000.0,0
124,Overbetuwe,Gelderland,51.932.775,5.781.465,115.08,46653.0,37300.0,235000.0,0
